Instituição,Ano,Cota-Parte do ICMS,Cota-Parte do IPVA,IPTU,ISS,ITBI,ISS_pct,ITBI_pct,IPTU_pct,IPVA_pct,ICMS_pct,Cluster_AGNES,Cluster_KMeans
Prefeitura Municipal de João Pessoa - PB,2017,2125342308.7857144,1429305695.7142856,1365227977.2142856,1173089487.857143,1863126569.0,-18.343710022481396,65.19881515293409,60.79358980567267,87.5889846399991,-10.016976916823673,0,2
Prefeitura Municipal de João Pessoa - PB,2018,2647567182.285714,626847126.9285715,1075921003.142857,1880356323.857143,1380356994.142857,60.290953360425114,-25.91179702387374,-21.19111085474181,-56.1432429180023,24.57133005545662,1,0
Prefeitura Municipal de João Pessoa - PB,2019,3033033825.357143,1253771633.142857,1389225023.857143,1923369897.7857144,884599829.7857143,2.287522496817962,-35.9151412613363,29.1196119230964,100.0123442036168,14.55927712242775,0,3
Prefeitura Municipal de João Pessoa - PB,2020,2490295261.142857,1285577662.142857,804793278.9285715,1821919411.7142856,1390502315.5714285,-5.274621703720328,57.18998226670067,-42.06890423740811,2.536827932553476,-17.894246997076525,2,1
Prefeitura Municipal de João Pessoa - PB,2021,3239509136.428571,813225650.3571428,920489643.5,1993130839.142857,880328775.9285715,9.397310678383676,-36.68987343132907,14.375910883035225,-36.74239415442061,30.085343170989365,3,0
Prefeitura Municipal de João Pessoa - PB,2022,3096847406.071429,940769467.0,1031410424.4285715,2306916184.071429,1111826474.4285715,15.743339010474333,26.29673195174338,12.050193254409102,15.6836932758877,-4.403807007453642,2,0
Prefeitura Municipal de João Pessoa - PB,2023,3449927427.5,1077318925.7142856,1407094154.2857144,3414383148.714286,1033232918.7142857,48.006380651780404,-7.068868885738599,36.42427116880087,14.514656725597753,11.40127281493919,0,3
Prefeitura Municipal de Maceió - AL,2017,1934253186.857143,1120967590.357143,852425113.6428572,1505748697.5714285,350794240.4285714,18.585626105362117,11.13956488896366,15.123192953547004,-6.450264799248306,-0.8682284429853637,1,0
Prefeitura Municipal de Maceió - AL,2018,2180420122.714286,1257345709.642857,763941684.7857143,1496446134.9285715,526205931.64285713,-0.6178031339400092,50.00415371700009,-10.380199672790857,12.16610725045706,12.726717346508565,2,0
Prefeitura Municipal de Maceió - AL,2019,1850444530.857143,1380399370.0714285,1116175852.642857,1829828870.0714285,318183449.35714287,22.27829838718318,-39.53252325306394,46.10746800077345,9.78678015798251,-15.133578543862193,1,0
Prefeitura Municipal de Maceió - AL,2020,2231087672.714286,1429048845.5,964962076.0714285,1709765856.2857144,458734635.28571427,-6.561434008909661,44.173003408109594,-13.547486824176303,3.5243043776566063,20.570362175667345,2,0
Prefeitura Municipal de Maceió - AL,2021,1844519982.2142856,783100118.8571428,1341483307.5,2001490700.7142856,873819798.0,17.062268693463835,90.48480990665936,39.01927762399448,-45.20130495727391,-17.32642312660495,2,1
Prefeitura Municipal de Maceió - AL,2022,2555912994.214286,1107781427.2142856,1728937307.357143,3274329739.571429,935724480.5714285,63.594551721019556,7.084376288236549,28.882506229556128,41.46102146312825,38.56792113176222,0,3
Prefeitura Municipal de Maceió - AL,2023,2164132619.285714,1216460247.142857,1842983397.7857144,3751100712.142857,478410620.21428573,14.56087231562182,-48.87270450355966,6.596311499744467,9.810493050227764,-15.328392469361384,1,0
Prefeitura Municipal de Recife - PE,2017,6385183894.571428,1548344580.857143,2346782285.785714,5509052896.0,1270504480.5714285,13.344431615302877,74.16745118796646,37.825692110949085,31.587095946829493,-0.11512016310247786,0,2
Prefeitura Municipal de Recife - PE,2018,5335942033.785714,1520767732.857143,2495991848.357143,6249873418.357142,1356430982.0714285,13.447329991967138,6.763179730098501,6.358048783441905,-1.7810536711882152,-16.432445456704247,1,1
Prefeitura Municipal de Recife - PE,2019,5526598747.357142,1695417152.2857144,2587932988.642857,5596282397.285714,842825393.8571428,-10.457668136952968,-37.86448370782198,3.6835513043133483,11.484292811792418,3.5730656810782913,1,0
Prefeitura Municipal de Recife - PE,2020,5478998108.285714,1566509459.2142856,2622996379.285714,5602809815.214286,727712247.6428572,0.11663846577394388,-13.658006397680644,1.3548801609907457,-7.603302402458234,-0.8613007972433584,1,0
Prefeitura Municipal de Recife - PE,2021,6044175983.071428,1962801925.4285715,3098003632.571429,6087747846.928572,1006053262.9285715,8.655264906501902,38.24877431804845,18.109336979529765,25.297802313498586,10.315350792529276,2,0
Prefeitura Municipal de Recife - PE,2022,7102967082.928572,1542869050.5,3242052750.285714,4633213251.857142,902317825.2142857,-23.892819342136196,-10.311127803742416,4.649740116499501,-21.394562002830753,17.51754255373459,3,0
Prefeitura Municipal de Recife - PE,2023,6318586623.571428,1637703732.2857144,3307356606.5,2365772999.214286,1034217590.6428572,-48.93882775056798,14.617883160764045,2.014274943815475,6.146644898669873,-11.042997246071163,2,1
Prefeitura Municipal de Salvador - BA,2017,5117671101.357142,1574723043.0714285,2962743128.5,6807635082.857142,918611860.6428572,3.3432366507364364,-34.23117766731261,2.094039041526985,11.803365094915863,2.26800743377904,1,0
Prefeitura Municipal de Salvador - BA,2018,4981094898.714286,1689600969.4285715,3561026235.785714,6875713781.357142,1259594720.4285715,1.0000344858589028,37.11936176690445,20.193553114023,7.295119409256778,-2.668717858922942,2,1
Prefeitura Municipal de Salvador - BA,2019,5198216137.0,1590584658.642857,3720741524.0,7562090023.928572,1215351502.142857,9.982618014619437,-3.512496326648684,4.485091589869894,-5.860337001298122,4.3589058771347,1,0
Prefeitura Municipal de Salvador - BA,2020,4380392419.928572,1919560779.7857144,4403886218.5,5347140391.785714,1412292322.0,-29.29017804779018,16.204432998182416,18.36044482244985,20.6827168459899,-15.732776312441132,2,1
Prefeitura Municipal de Salvador - BA,2021,6065138851.071428,1886136478.5,4662208557.357142,3314383078.428571,1670014649.5714285,-38.01578347334714,18.24851155506235,5.865781403978443,-1.741247353962172,38.46108452471317,3,0
Prefeitura Municipal de Salvador - BA,2022,7176503910.714286,2141673919.0714285,4950276258.285714,1646864009.2857144,2082430683.4285715,-50.31159735263516,24.6953542571007,6.178781952471635,13.548194602261843,18.323818908886658,3,1
Prefeitura Municipal de Salvador - BA,2023,6174568418.0,2568121300.571429,5621625249.785714,1395110461.5,2064744898.357143,-15.286844959038614,-0.8492856550840977,13.561849005422765,19.911872563910027,-13.961331383355468,2,1
Prefeitura Municipal do Rio de Janeiro - RJ,2017,1730953070.2142856,2833761962.5,1574468445.9285715,4242286573.5,3215456563.285714,18.823873107756796,-17.56175281846707,-37.71497658094732,12.370001462240188,-0.8963174573263344,1,0
Prefeitura Municipal do Rio de Janeiro - RJ,2018,1776620373.5714285,3329613111.928571,2663348445.642857,4015697309.642857,5037478204.285714,-5.341205973037333,56.664476883437274,69.15857872731763,17.497981693251386,2.6382750718648484,0,2
Prefeitura Municipal do Rio de Janeiro - RJ,2019,2086613774.357143,3264855746.142857,2296720467.214286,5025830264.785714,4558219534.142858,25.15460895713515,-9.51386091824913,-13.76567827722135,-1.9448916017814954,17.44848845578384,1,0
Prefeitura Municipal do Rio de Janeiro - RJ,2020,1854704668.4285715,2222183668.571429,2871817258.857143,4815147356.428572,4380010588.142858,-4.192002062491563,-3.9096174430640063,25.039912338152213,-31.936237268775336,-11.114136635085693,1,1
Prefeitura Municipal do Rio de Janeiro - RJ,2021,2529641448.714286,2910243710.142857,2565179630.571429,5722724939.785714,3213628931.857143,18.84838648074727,-26.629653805934407,-10.677477034445515,30.96323905637197,36.3905257680494,1,3
Prefeitura Municipal do Rio de Janeiro - RJ,2022,1787953421.0714285,2296845321.071429,2677898453.857143,4951999366.214286,5277361355.928572,-13.467807411346389,64.21813058792716,4.394188303319901,-21.077217242445922,-29.319887528717846,2,1
Prefeitura Municipal do Rio de Janeiro - RJ,2023,1913785519.5,2469137084.357143,2298865395.857143,6913307688.142858,4807877123.285714,39.60639283013392,-8.896192642094524,-14.154123635795646,7.501234920135746,7.03777273756756,1,0
